Date;Workout Name;Exercise Name;Set Order;Weight;Weight Unit;Reps;Distance;Distance Unit;Seconds;Notes;Workout Notes
2018-09-21 16:12:11;"A";"Bent Over Row (Dumbbell)";2;30;lbs;5;;;0;;
2018-09-21 16:12:11;"A";"Bent Over Row (Dumbbell)";3;35;lbs;5;;;0;;
2018-09-21 16:12:11;"A";"Bent Over Row (Dumbbell)";4;40;lbs;5;;;0;;
2018-09-21 16:12:11;"A";"Bent Over Row (Dumbbell)";5;45;lbs;8;;;0;;
2018-09-21 16:12:11;"A";"Overhead Press (Dumbbell)";1;20;lbs;5;;;0;"";
2018-09-21 16:12:11;"A";"Overhead Press (Dumbbell)";2;22.5;lbs;5;;;0;;
2018-09-21 16:12:11;"A";"Overhead Press (Dumbbell)";3;25;lbs;5;;;0;;
2018-09-21 16:12:11;"A";"Overhead Press (Dumbbell)";4;27.5;lbs;5;;;0;;
2018-09-21 16:12:11;"A";"Overhead Press (Dumbbell)";5;30;lbs;7;;;0;;
2018-09-19 16:20:25;"B";"Squat (Barbell)";1;20;lbs;5;;;0;"";""
